,id,name,amenity,geometry
361,4153633540,Starbucks,cafe,POINT (-58.3922237 -34.6081651)
362,4164205743,Le Pain Quotidien,cafe,POINT (-58.4377834 -34.5784666)
363,4167717481,Chef León,cafe,POINT (-58.4535824 -34.5521543)
364,4167852091,Paseo Colon,cafe,POINT (-58.3687987 -34.6146201)
365,4174214295,Café Martínez,cafe,POINT (-58.4603378 -34.5575267)
366,4214670731,Starbucks,cafe,POINT (-58.440067 -34.598493)
367,4228636828,Cabaña Tuyu,cafe,POINT (-58.452089 -34.5648426)
368,4232934992,Café Martínez,cafe,POINT (-58.4633815 -34.5661281)
369,4250121189,Muu Lechería,cafe,POINT (-58.4260387 -34.5884586)
370,4250988691,Grand Café,cafe,POINT (-58.376987 -34.5924852)
371,4251154596,Chungo,cafe,POINT (-58.4076057 -34.5817736)
372,4251236289,N/A,cafe,POINT (-58.4434002 -34.5682233)
373,4251288289,Brioche Dorée,cafe,POINT (-58.4563775 -34.5621226)
374,4251296189,Pride Hollywood,cafe,POINT (-58.4336827 -34.5835696)
375,4251330293,El Galeón,cafe,POINT (-58.4202908 -34.5823796)
376,4251330294,La Giralda Cafetería,cafe,POINT (-58.3874306 -34.6039432)
377,4251331595,CoCo Fresh Tea & Juice,cafe,POINT (-58.4221439 -34.5743784)
378,4252945095,Beio,cafe,POINT (-58.3962007 -34.6093681)
379,4270804918,Starbucks,cafe,POINT (-58.437959 -34.5780257)
380,4289340387,N/A,cafe,POINT (-58.3930583 -34.5862813)
381,4289340907,Liber cafe,cafe,POINT (-58.3827835 -34.5884736)
382,4289340911,Sotovoce cafe,cafe,POINT (-58.387422 -34.5861119)
